Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2021-11-16 03:30:43",1,1,"l 0cty l",c73c1b4f-e18d-4f0e-bda1-00218d075d2b,Streets,Oddball,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,7,,,,,Loss,39.63,4814,5083,545,216,329,0.78,-1.33,14,,,,,,,,18,8,0,0,2,0,0,,,,0,5,761
"2021-11-16 03:47:11",1,1,"l 0cty l",ef221d35-a141-4c6c-b34c-cc0ca5cadbc7,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,5,,,,,Loss,40.22,2951,2953,271,109,162,0.83,-1.67,10,,,,,,,,12,1,0,0,3,0,0,,,,0,4,462
"2021-11-16 03:57:50",1,1,"l 0cty l",70af63e6-06f8-4a2b-9d7b-ee34a1506cde,Streets,Strongholds,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,5,,,,,Loss,44.74,1177,2494,114,51,63,0.27,-8.00,3,,,,,,,,11,0,0,0,1,0,0,,,,0,0,303
"2021-11-16 04:05:16",1,1,"l 0cty l",a2fc7736-acd6-45f5-be33-4f3f8cca33e8,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,4,,,,,Win,35.96,3084,3232,381,137,244,0.83,-0.67,10,,,,,,,,12,4,0,1,2,0,0,,,,0,2,557
"2022-01-01 04:42:35",1,1,"l 0cty l",cbfdef0f-627e-4619-b0b5-e1ffe0c955bd,Bazaar,Slayer,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,4,,,,,Win,30.3,1612,2422,703,213,490,0.88,0.00,7,,,,,,,,8,3,0,0,3,0,0,,,,0,2,606
"2022-01-01 04:57:57",1,1,"l 0cty l",9323abcb-f5eb-4689-aaa8-8e62b35b40ad,"Launch Site",Slayer,"Super Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,6,,,,,Loss,19.91,2649,3428,221,44,177,0.60,-3.00,6,,,,,,,,10,3,0,1,2,3,0,,,,0,0,626
"2022-01-01 05:10:45",1,1,"l 0cty l",0670f551-dd8d-47b2-89c4-0343eb7948c4,Bazaar,Slayer,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,7,,,,,Loss,26.88,1979,3707,439,118,321,0.80,-1.00,8,,,,,,,,10,3,0,0,3,0,0,,,,0,5,659
"2022-01-01 05:24:30",1,1,"l 0cty l",7d339f52-7f90-497e-ba65-dfb8be0aa695,Recharge,Slayer,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,7,,,,,Loss,35.32,3003,4225,470,166,304,0.58,-3.00,7,,,,,,,,12,6,0,0,5,0,0,,,,0,4,655
"2022-01-03 03:47:10",1,1,"l 0cty l",ad14f94e-f190-4d5d-a0ff-ed6536805d89,Streets,Slayer,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,4,,,,,Win,29.68,1628,3143,347,103,244,0.50,-4.33,5,,,,,,,,10,2,0,0,2,0,0,,,,0,1,465
"2022-01-03 03:58:30",1,1,"l 0cty l",becf4687-600f-4acc-98d1-9cbe1db8880a,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,4,,,,,Win,34.1,1815,1492,390,133,257,0.80,0.00,4,,,,,,,,5,3,0,0,3,0,0,,,,0,0,463
"2022-01-03 04:08:00",1,1,"l 0cty l",28d643f4-6ce2-481d-abe3-2a09231dc0a2,Streets,Oddball,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,4,,,,,Win,38.18,4242,4421,626,239,387,0.85,2.67,11,,,,,,,,13,14,0,0,4,0,0,,,,0,6,798
"2022-01-03 04:23:03",1,1,"l 0cty l",10cc649b-7126-403a-ba00-563e0e633b75,Bazaar,CTF,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,5,,,,,Loss,34.43,2966,4376,607,209,398,0.31,-7.67,5,,,,,,,,16,10,0,0,1,0,0,,,,0,1,746
"2022-01-03 04:37:36",1,1,"l 0cty l",677fd523-06df-4c03-8c97-a83e37ddcd53,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,4,,,,,Win,46.02,3002,3938,289,133,156,0.47,-6.00,7,,,,,,,,15,6,0,0,2,0,0,,,,0,1,511
"2022-01-03 04:47:56",1,1,"l 0cty l",eb2ef635-9457-40ce-83ec-90631c98d457,Streets,Slayer,"Ranked Arena",CrossPlay,Open,0,709,,,,,,,,,,,,,4,,,,,Win,43.64,2363,2241,330,144,186,1.43,5.00,10,,,,,,,,7,6,0,0,3,0,0,,,,0,1,426
"2022-01-03 04:56:47",1,1,"l 0cty l",2f6c0243-ccbd-455e-8835-c99f5aa64dce,Streets,Strongholds,"Ranked Arena",CrossPlay,Open,709,709,,,,,,,,,,,,,5,,,,,Loss,39.11,3269,3454,450,176,274,0.75,-0.67,9,,,,,,,,12,7,0,0,2,0,0,,,,0,5,647
"2022-01-03 05:09:19",1,1,"l 0cty l",b9fdb868-8f75-44ff-ab99-648ebca13c42,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,709,712,,,,,,,,,,,,,1,,,,,Win,48.11,2217,2493,212,102,110,0.70,-0.67,7,,,,,,,,10,7,0,0,2,0,0,,,,0,3,508
"2022-01-03 05:21:54",1,1,"l 0cty l",91a63f5e-2189-4fec-8828-734935a4a8a1,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,712,727,,,,,,,,,,,,,2,,,,,Win,50.49,4156,2903,410,207,203,1.75,11.00,14,,,,,,,,8,15,0,0,4,0,0,,,,0,5,614
"2022-01-03 05:36:27",1,1,"l 0cty l",4639387a-1032-495e-9af0-6f7652279c81,Streets,Slayer,"Ranked Arena",CrossPlay,Open,727,727,,,,,,,,,,,,,6,,,,,Loss,43.58,2918,3257,358,156,202,0.92,1.00,12,,,,,,,,13,6,0,0,3,0,0,,,,0,3,443
"2022-01-03 05:45:40",1,1,"l 0cty l",e0368e2e-1b34-4228-b1d6-ddbddb49238f,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,727,742,,,,,,,,,,,,,1,,,,,Win,50,5018,4905,626,313,313,0.84,-0.67,16,,,,,,,,19,7,0,0,2,0,0,,,,0,5,805
"2022-01-03 16:28:23",1,1,"l 0cty l",971b49f0-edee-44be-8292-3503f2cbc729,Streets,Strongholds,"Ranked Arena",CrossPlay,Open,742,757,,,,,,,,,,,,,1,,,,,Win,51.11,6649,4500,765,391,374,1.92,14.33,23,,,,,,,,12,10,0,0,5,0,0,,,,0,8,809
"2022-01-03 16:45:21",1,1,"l 0cty l",957832a8-9b53-4ff1-a8c6-91894954512f,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,757,772,,,,,,,,,,,,,4,,,,,Win,46.72,7295,3986,687,321,366,2.64,20.33,29,,,,,,,,11,7,0,0,7,0,0,,,,0,10,794
"2022-01-03 17:01:02",1,1,"l 0cty l",cc716b0f-20d0-451f-b527-b2d436db4e18,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,3,,,,,Win,41.25,5278,5340,640,264,376,1.00,3.33,18,,,,,,,,18,10,0,0,4,0,0,,,,0,6,847
"2022-01-03 17:22:35",1,1,"l 0cty l",e67e162b-5a75-45e6-b951-b5f37cff1e95,Behemoth,CTF,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,5,,,,,Loss,47.57,6360,4492,719,342,377,1.46,6.67,19,,,,,,,,13,2,0,0,5,0,0,,,,0,10,754
"2022-01-03 17:36:48",1,1,"l 0cty l",52fbe1cf-9758-42b2-8210-2908dda073ec,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,4,,,,,Win,33.79,2454,1432,438,148,290,3.67,9.00,11,,,,,,,,3,3,0,0,4,0,0,,,,0,3,434
"2022-01-03 17:46:03",1,1,"l 0cty l",6008140c-c1db-46f4-9893-0e06949728d3,Recharge,Oddball,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,3,,,,,Win,53.6,9787,5173,959,514,445,2.38,25.67,38,,,,,,,,16,11,0,0,5,0,0,,,,0,17,859
"2022-01-03 18:02:35",1,1,"l 0cty l",979b8e5f-7a4b-43e4-8452-f97bb40111d2,Behemoth,CTF,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,1,,,,,Win,46.8,4821,3816,594,278,316,1.55,8.00,17,,,,,,,,11,6,0,1,4,0,0,,,,0,5,602
"2022-01-03 18:21:24",1,1,"l 0cty l",49b6f8fc-9c65-460c-b050-bec8f0b381ed,Recharge,Slayer,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,2,,,,,Win,53.2,4073,2702,391,208,183,1.86,8.00,13,,,,,,,,7,6,0,0,6,0,0,,,,0,10,427
"2022-01-03 18:35:48",1,1,"l 0cty l",38882921-0207-4e6a-9af8-45278c98d74b,Streets,Slayer,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,1,,,,,Win,53.12,3574,2824,320,170,150,1.86,7.33,13,,,,,,,,7,4,0,0,4,0,0,,,,0,6,471
"2022-01-03 18:46:25",1,1,"l 0cty l",f74bf315-722a-4f03-a2d6-2890153d1fb8,Streets,Oddball,"Ranked Arena",Controller,Solo/Duo,0,915,,,,,,,,,,,,,4,,,,,Win,48.16,7262,5538,816,393,423,1.00,6.00,17,,,,,,,,17,18,0,0,4,0,0,,,,0,9,943
"2022-01-03 19:04:29",1,1,"l 0cty l",d4731057-b9c7-44b3-9b79-302e352f3e72,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,915,915,,,,,,,,,,,,,5,,,,,Loss,52.07,3157,2649,290,151,139,1.50,4.00,12,,,,,,,,8,0,0,0,4,0,0,,,,0,8,365
"2022-01-03 19:12:12",1,1,"l 0cty l",560dd606-2d89-4600-8d2b-1b5eaa6cd24a,Behemoth,CTF,"Ranked Arena",Controller,Solo/Duo,915,930,,,,,,,,,,,,,1,,,,,Win,50.45,5039,4402,557,281,276,1.20,5.33,18,,,,,,,,15,7,0,0,4,0,0,,,,0,7,757
"2022-01-03 19:26:35",1,1,"l 0cty l",1eb80bd9-b354-433f-a615-ac585ecac076,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,930,930,,,,,,,,,,,,,5,,,,,Loss,49.14,3878,5190,466,229,237,0.67,-4.67,10,,,,,,,,15,1,0,0,3,0,0,,,,0,2,689
