Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2021-11-18 02:37:43",1,1,"l Jordo l",a8eafcc7-5e02-4b5d-979e-56df1be55b23,Bazaar,CTF,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,3,,,,,Win,56.28,6958,5600,709,399,310,1.56,12.00,25,,,,,,,,16,9,0,0,5,0,0,,,,0,11,920
"2021-11-18 02:56:35",1,1,"l Jordo l",ab23f6b4-c775-4038-a9c9-31702b6b1bcd,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,8,,,,,Loss,46.44,3353,3289,295,137,158,0.75,-1.00,9,,,,,,,,12,6,0,0,2,0,0,,,,0,1,564
"2021-11-18 03:08:16",1,1,"l Jordo l",32def735-3dbb-42ab-b529-5ec731e32570,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,7,,,,,Loss,53.9,4290,4104,397,214,183,0.87,0.33,13,,,,,,,,15,7,0,0,2,0,0,,,,0,7,539
"2021-11-18 03:18:40",1,1,"l Jordo l",7b472d61-b5a4-480c-b189-491c762c24f7,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,5,,,,,Loss,53.83,6407,5072,626,337,289,2.17,16.33,26,,,,,,,,12,7,0,0,10,0,0,,,,0,10,800
"2021-11-18 03:33:43",1,1,"l Jordo l",88a234cb-962d-4e9a-9661-aadf54433239,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,4,,,,,Left,0,0,0,0,0,0,0.00,0.00,0,,,,,,,,0,0,0,0,0,0,0,,,,0,0,163
"2021-11-18 03:37:00",1,1,"l Jordo l",1ec3bcaf-3473-4975-a32d-01c5a0bcaa23,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,5,,,,,Loss,46.24,4862,5509,679,314,365,0.85,-2.00,17,,,,,,,,20,3,0,0,5,0,0,,,,0,6,766
"2021-11-18 03:51:36",1,1,"l Jordo l",601d09f0-3d7d-4d9e-8e2e-ff92829e7b0a,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,5,,,,,Loss,53.78,4940,5504,556,299,257,1.22,6.00,22,,,,,,,,18,6,0,0,5,0,0,,,,0,6,807
"2021-11-18 04:07:25",1,1,"l Jordo l",11e78d9c-8392-4c26-a242-f9c608609d54,Streets,Slayer,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,5,,,,,Loss,49.55,4214,3744,448,222,226,1.31,5.67,17,,,,,,,,13,5,0,0,3,0,0,,,,0,4,501
"2021-11-20 01:06:47",1,1,"l Jordo l",8af6212c-0691-4333-a93e-55cdff31ad57,"Live Fire",Slayer,"Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,2,,,,,Win,43.34,3724,2794,503,218,285,1.71,6.33,12,,,,,,,,7,4,0,0,4,0,0,,,,0,3,561
"2021-11-20 01:17:42",1,1,"l Jordo l",7eeb6362-d28c-4a4a-beb6-24f21a60e6b9,Streets,Oddball,"Ranked Arena",CrossPlay,Open,0,1019,,,,,,,,,,,,,6,,,,,Loss,58.33,7966,7804,828,483,345,0.96,4.00,25,,,,,,,,26,15,0,0,5,0,0,,,,0,11,1039
"2021-11-20 01:36:28",1,1,"l Jordo l",49a96051-2cd1-4306-b2d2-3bc522613b3b,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,1019,1034,,,,,,,,,,,,,4,,,,,Win,48.64,4311,3786,477,232,245,1.88,8.33,15,,,,,,,,8,4,0,0,6,0,0,,,,0,10,559
"2021-11-20 01:47:07",1,1,"l Jordo l",9584e692-3ea2-4a21-af3c-419df1ee2bfa,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1034,1049,,,,,,,,,,,,,1,,,,,Win,59.06,3564,3233,342,202,140,1.36,4.67,15,,,,,,,,11,2,0,0,3,0,0,,,,0,4,561
"2021-11-20 01:57:40",1,1,"l Jordo l",ffab3aa4-b803-4c26-9324-4d83ddb865d9,Bazaar,CTF,"Ranked Arena",CrossPlay,Open,1049,1049,,,,,,,,,,,,,5,,,,,Loss,55.07,3395,3735,345,190,155,0.87,-2.00,13,,,,,,,,15,0,0,0,4,0,0,,,,0,6,533
"2021-11-20 02:07:54",1,1,"l Jordo l",cfe49ac6-92cc-4046-8743-98110b301ea4,Streets,Oddball,"Ranked Arena",CrossPlay,Open,1049,1049,,,,,,,,,,,,,7,,,,,Loss,48.26,4356,3972,547,264,283,1.00,2.33,12,,,,,,,,12,7,0,0,3,0,0,,,,0,3,652
"2021-11-20 02:21:42",1,1,"l Jordo l",db0c1084-9d00-45c7-bc1a-70e35e737e32,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1049,1049,,,,,,,,,,,,,5,,,,,Loss,48.41,5922,5809,692,335,357,1.13,6.00,18,,,,,,,,16,12,0,0,6,0,0,,,,0,5,857
"2021-11-20 02:37:40",1,1,"l Jordo l",fbc9a90b-829e-40f7-81e7-ca48f09470a7,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,1049,1049,,,,,,,,,,,,,5,,,,,Loss,49.73,5370,4418,742,369,373,1.31,8.00,21,,,,,,,,16,9,0,0,4,0,0,,,,0,4,763
"2021-11-20 02:54:57",1,1,"l Jordo l",1a60d4ac-0109-4ded-baf9-4c679b4bef89,Bazaar,CTF,"Ranked Arena",CrossPlay,Open,1049,1049,,,,,,,,,,,,,1,,,,,Draw,51.09,8191,7299,959,490,469,1.45,12.33,29,,,,,,,,20,10,0,0,4,0,0,,,,0,6,1064
"2021-11-20 03:15:01",1,1,"l Jordo l",06f1f948-b029-44f1-b984-50bedf3c7e55,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,1049,1052,,,,,,,,,,,,,1,,,,,Win,49.26,5200,4065,540,266,274,1.27,6.67,19,,,,,,,,15,8,0,0,4,0,0,,,,0,6,750
"2021-11-20 03:29:03",1,1,"l Jordo l",d43c3ed6-8fa4-4a2e-a45a-b681da97983e,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,1052,1052,,,,,,,,,,,,,8,,,,,Loss,51.65,7004,7711,846,437,409,0.77,-2.33,20,,,,,,,,26,11,0,0,3,0,0,,,,0,3,1011
"2021-11-20 03:47:55",1,1,"l Jordo l",85460805-3c13-4ff5-a08f-5cb880c7f867,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,1052,1052,,,,,,,,,,,,,7,,,,,Loss,51.63,8057,6916,858,443,415,1.00,4.67,23,,,,,,,,23,14,0,0,3,0,0,,,,0,9,1012
"2021-11-20 04:06:26",1,1,"l Jordo l",a867b638-19af-458e-941f-0cbdf288e814,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,1052,1052,,,,,,,,,,,,,5,,,,,Loss,57.14,3446,3326,357,204,153,0.83,-1.33,10,,,,,,,,12,2,0,0,4,0,0,,,,0,3,492
"2021-11-20 04:16:39",1,1,"l Jordo l",79fdc77e-8ff9-4b68-8a06-301f13351ad3,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,1052,1052,,,,,,,,,,,,,6,,,,,Loss,50.23,3252,3819,430,216,214,1.00,2.00,12,,,,,,,,12,6,0,0,4,0,0,,,,0,3,555
"2021-11-20 04:27:29",1,1,"l Jordo l",d899166e-67c3-46c1-88cb-a6d310641300,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,1052,1067,,,,,,,,,,,,,3,,,,,Win,57.37,7672,5342,692,397,295,2.23,19.33,29,,,,,,,,13,10,0,0,6,0,0,,,,0,13,749
"2021-11-20 04:42:54",1,1,"l Jordo l",a7a91b3f-ab7d-494e-a4bc-ea05ef302eea,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1067,1067,,,,,,,,,,,,,5,,,,,Loss,52.76,5679,5340,597,315,282,1.27,6.33,19,,,,,,,,15,7,0,0,5,0,0,,,,0,5,669
"2021-11-20 04:56:03",1,1,"l Jordo l",ed862332-e547-4c41-9589-d1dcb38251c7,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,1067,1070,,,,,,,,,,,,,1,,,,,Win,50.12,3219,4857,407,204,203,0.75,-2.67,12,,,,,,,,16,4,0,0,3,0,0,,,,0,2,749
"2021-11-20 05:20:58",1,1,"l Jordo l",c6b1767a-2bfc-4d78-94da-95055122dc42,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1070,1070,,,,,,,,,,,,,5,,,,,Loss,42.59,5889,5105,641,273,368,1.17,4.67,21,,,,,,,,18,5,0,0,6,0,0,,,,0,8,669
"2021-11-20 05:33:43",1,1,"l Jordo l",cde80095-d4e5-4d76-970c-fb6032aa3b91,Streets,Strongholds,"Ranked Arena",CrossPlay,Open,1070,1070,,,,,,,,,,,,,5,,,,,Loss,55.56,3672,3022,333,185,148,1.88,7.67,15,,,,,,,,8,2,0,0,6,0,0,,,,0,7,428
