Date,SeasonNumber,Player,MatchId,Map,Category,Playlist,PreCsr,PostCsr,Rank,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds,Win,Loss,Draw
2024-08-16 16:55:46,8.0,Zaidster7,fb740417-856c-4d67-bac7-e6685cbdefe3,Interference,King of the Hill,Ranked Arena,1467,1477,1,Win,64.29,5854,5057,168,108,60,1.38,7.66,22,3.0,3.0,12.0,2.0,0.0,0.0,0.0,16,5,0,0,4,0,0,20.0,15.0,2925.0,0,11,665,1,0,0
2024-08-16 17:08:16,8.0,Zaidster7,6fe01cd5-b093-4328-9f2e-cb177c16a180,Recharge - Ranked,Slayer,Ranked Arena,1477,1470,5,Loss,55.03,4140,4137,169,93,76,1.0,1.33,12,0.0,2.0,8.0,0.0,0.0,0.0,0.0,12,4,0,0,4,0,0,13.0,13.0,1400.0,0,7,498,0,1,0
2024-08-16 17:17:40,8.0,Zaidster7,ee0dffb6-2778-44f4-afe1-56f57fcfd677,Forbidden - Ranked,CTF 3 Captures,Ranked Arena,1470,1478,1,Win,57.35,6180,5650,204,117,87,0.94,2.33,16,4.0,0.0,10.0,2.0,0.0,0.0,0.0,17,10,0,0,5,0,0,20.0,18.0,2460.0,0,15,754,1,0,0
2024-08-16 17:32:42,8.0,Zaidster7,54cab687-ce50-4eed-a73d-9cc9765a1766,Recharge - Ranked,Slayer,Ranked Arena,1478,1487,1,Win,68.09,4546,4686,141,96,45,1.75,10.33,21,1.0,0.0,17.0,0.0,0.0,0.0,0.0,12,4,0,0,6,0,0,14.0,12.0,2300.0,0,11,501,1,0,0
2024-08-17 20:23:57,8.0,Zaidster7,019aedef-622f-4d8f-a079-676ba20ac475,Interference,Doubles Slayer,Ranked Doubles,0,0,1,Win,63.77,4376,3508,138,88,50,2.13,10.0,17,3.0,1.0,10.0,1.0,0.0,0.0,0.0,8,3,0,0,6,0,0,12.0,9.0,1850.0,0,11,477,1,0,0
2024-08-17 20:45:12,8.0,Zaidster7,511790a9-1e40-4095-af39-2111b97fdbdd,Live Fire - Ranked,Strongholds,Ranked Arena,1487,1496,1,Win,56.5,5035,5196,177,100,77,1.0,4.0,16,1.0,1.0,13.0,0.0,0.0,0.0,0.0,16,12,0,0,4,0,0,20.0,18.0,2575.0,0,6,714,1,0,0
2024-08-17 20:59:37,8.0,Zaidster7,301ec080-e1ce-4cd6-ac86-30895698b8bd,Recharge - Ranked,Slayer,Ranked Arena,1496,1504,2,Win,60.25,4166,4418,161,97,64,1.0,2.66,13,3.0,0.0,8.0,0.0,0.0,0.0,0.0,13,8,0,0,4,0,0,15.0,12.0,1700.0,0,5,511,1,0,0
2024-08-17 21:09:30,8.0,Zaidster7,c1851f41-4543-4b95-8ca0-6d287f0d194d,Solitude - Ranked,King of the Hill,Ranked Arena,1504,1500,5,Loss,65.17,6622,5778,201,131,70,1.16,6.0,22,3.0,0.0,14.0,0.0,0.0,0.0,1.0,19,9,0,0,4,0,0,18.0,17.0,3010.0,0,19,655,0,1,0
2024-08-17 21:23:22,8.0,Zaidster7,c2558d2e-6a3c-4552-a58e-f967aaa3c7aa,Aquarius - Ranked,Slayer,Ranked Arena,1500,1508,3,Win,61.48,3223,3742,135,83,52,1.0,2.66,9,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9,8,0,0,3,0,0,12.0,10.0,1300.0,0,4,400,1,0,0
2024-08-17 21:31:12,8.0,Zaidster7,034bb20f-767b-4c2f-829e-1e0a8011d1a2,Empyrean - Ranked,CTF 3 Captures,Ranked Arena,1508,1518,1,Win,60.0,4956,4230,135,81,54,2.86,14.66,20,3.0,0.0,10.0,4.0,0.0,0.0,0.0,7,5,0,0,5,0,0,13.0,13.0,2910.0,0,13,506,1,0,0
2024-08-17 21:41:43,8.0,Zaidster7,1cbce30b-bf4f-479c-b70c-4a0e9e2e3e95,Live Fire - Ranked,Strongholds,Ranked Arena,1518,1526,1,Win,65.38,5076,5724,156,102,54,1.0,2.66,20,1.0,2.0,14.0,1.0,0.0,0.0,1.0,20,8,0,0,4,0,0,21.0,19.0,3260.0,0,11,750,1,0,0
2024-08-17 21:55:57,8.0,Zaidster7,3cd3b39e-66ee-45cf-99f7-9ecdac6916fb,Recharge - Ranked,King of the Hill,Ranked Arena,1526,1518,5,Loss,62.03,5203,5519,187,116,71,0.94,1.33,16,4.0,1.0,10.0,0.0,0.0,0.0,1.0,17,7,0,0,2,0,0,16.0,15.0,2110.0,0,3,563,0,1,0
2024-08-17 22:06:11,8.0,Zaidster7,b308dcf5-aece-47a2-9f44-e17620c63cf9,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1518,1511,6,Loss,54.97,5006,6197,171,94,77,1.06,2.33,18,1.0,1.0,13.0,4.0,0.0,0.0,0.0,17,4,0,0,4,0,0,19.0,20.0,2110.0,0,12,760,0,1,0
2024-08-17 22:20:34,8.0,Zaidster7,e533c725-486e-4975-ab56-01a44725424c,Interference,Slayer,Ranked Arena,1511,1519,1,Win,65.64,4920,4640,163,107,56,1.14,3.66,16,4.0,0.0,10.0,0.0,0.0,0.0,0.0,14,5,0,0,4,0,0,14.0,11.0,1850.0,0,3,482,1,0,0
2024-08-17 22:44:09,8.0,Zaidster7,65d5bbfd-002e-4e1a-8d64-4d6173b4758d,Recharge - Ranked,Oddball,Ranked Arena,1519,1527,3,Win,62.26,13541,10602,416,259,157,1.15,11.0,38,2.0,1.0,29.0,0.0,0.0,0.0,3.0,33,18,0,0,6,0,0,39.0,31.0,5000.0,0,26,1267,1,0,0
2024-08-17 23:07:14,8.0,Zaidster7,dd187adb-d09b-4ade-b256-bc4d200ba6f6,Live Fire - Ranked,Oddball,Ranked Arena,1527,1536,3,Win,67.38,10941,9769,282,190,92,1.43,18.66,43,7.0,1.0,29.0,6.0,0.0,0.0,2.0,30,17,0,0,5,0,0,34.0,30.0,5460.0,0,22,1173,1,0,0
2024-08-17 23:28:54,8.0,Zaidster7,2de2baa9-9268-47bd-8466-a8ef200a4661,Argyle - Ranked,CTF 3 Captures,Ranked Arena,0,0,7,Left,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,0.0,0,0,41,0,0,0
2024-08-17 23:31:33,8.0,Zaidster7,11924670-6059-481f-9a45-8b88db322306,Forbidden - Ranked,CTF 3 Captures,Ranked Arena,1536,1544,1,Win,65.96,3030,4058,94,62,32,0.83,0.33,10,0.0,0.0,7.0,3.0,0.0,0.0,0.0,12,7,0,0,2,0,0,14.0,13.0,2010.0,0,5,517,1,0,0
2024-08-17 23:41:11,8.0,Zaidster7,2c4efd6f-1727-4017-9fc6-4d64292ca3b4,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1544,1536,5,Loss,65.31,4407,3631,98,64,34,1.15,3.66,15,1.0,2.0,8.0,7.0,0.0,0.0,0.0,13,5,0,0,5,0,0,13.0,12.0,2100.0,0,12,493,0,1,0
2024-08-17 23:50:37,8.0,Zaidster7,b5c61225-6b29-48be-aaf2-f78d63e19f55,Recharge - Ranked,Strongholds,Ranked Arena,1536,1546,1,Win,60.8,7531,6770,250,152,98,1.65,15.0,28,2.0,2.0,18.0,0.0,0.0,0.0,1.0,17,12,0,0,6,0,0,21.0,20.0,3885.0,0,17,780,1,0,0
2024-08-18 00:04:51,8.0,Zaidster7,045a4815-ef64-4d11-beb8-de59162585a9,Interference,Strongholds,Ranked Arena,1546,1538,5,Loss,54.74,5889,6380,232,127,105,0.95,1.66,19,1.0,2.0,15.0,0.0,0.0,0.0,0.0,20,8,0,0,3,0,0,20.0,18.0,2550.0,0,10,718,0,1,0
2024-08-18 00:17:49,8.0,Zaidster7,4d08a774-f0ac-4449-a28b-ba9d9c8eaafc,Interference,King of the Hill,Ranked Arena,1538,1547,3,Win,56.79,7349,6009,243,138,105,1.77,14.33,23,4.0,3.0,13.0,3.0,0.0,0.0,1.0,13,13,0,0,5,0,0,22.0,17.0,3060.0,0,13,685,1,0,0
